,Id,GDP_Val,Country_Name,Country_Code,Year,Total_Population
0,AND_1980,446377571.458,Andorra,AND,1980.0,36063.0
1,AND_1984,330073057.022,Andorra,AND,1984.0,42704.0
2,AND_1988,721425971.769,Andorra,AND,1988.0,50431.0
3,AND_1992,1209992649.57,Andorra,AND,1992.0,58904.0
4,AND_1996,1224023415.65,Andorra,AND,1996.0,64291.0
5,AND_2000,1401694155.7,Andorra,AND,2000.0,65399.0
6,AND_2004,2916913449.18,Andorra,AND,2004.0,78337.0
7,AND_2008,4001349339.57,Andorra,AND,2008.0,85616.0
8,AND_2012,3146177740.64,Andorra,AND,2012.0,79316.0
9,AND_2016,,Andorra,AND,2015.0,70473.0
10,AFG_1980,3641723447.18,Afghanistan,AFG,1980.0,13211412.0
11,AFG_1984,,Afghanistan,AFG,1984.0,11912510.0
12,AFG_1988,,Afghanistan,AFG,1988.0,11375768.0
13,AFG_1992,,Afghanistan,AFG,1992.0,13745630.0
14,AFG_1996,,Afghanistan,AFG,1996.0,17481800.0
15,AFG_2000,,Afghanistan,AFG,2000.0,19701940.0
16,AFG_2004,5285461999.34,Afghanistan,AFG,2004.0,23499850.0
17,AFG_2008,10190529882.5,Afghanistan,AFG,2008.0,26528741.0
18,AFG_2012,20536542736.7,Afghanistan,AFG,2012.0,29726803.0
19,AFG_2016,19199437988.8,Afghanistan,AFG,2015.0,32526562.0
20,AGO_1980,,Angola,AGO,1980.0,8211950.0
21,AGO_1984,,Angola,AGO,1984.0,9444918.0
22,AGO_1988,6684491978.61,Angola,AGO,1988.0,10544904.0
23,AGO_1992,10341398740.5,Angola,AGO,1992.0,11848971.0
24,AGO_1996,7526963963.96,Angola,AGO,1996.0,13424813.0
25,AGO_2000,9129634978.34,Angola,AGO,2000.0,15058638.0
26,AGO_2004,19640848728.9,Angola,AGO,2004.0,17295500.0
27,AGO_2008,84178032716.1,Angola,AGO,2008.0,19842251.0
28,AGO_2012,1.15398371428e+11,Angola,AGO,2012.0,22685632.0
29,AGO_2016,1.02643104696e+11,Angola,AGO,2015.0,25021974.0
30,ALB_1980,,Albania,ALB,1980.0,2671997.0
31,ALB_1984,1924242453.01,Albania,ALB,1984.0,2904429.0
32,ALB_1988,2126000000.0,Albania,ALB,1988.0,3142336.0
33,ALB_1992,709452583.88,Albania,ALB,1992.0,3247039.0
34,ALB_1996,3314898291.38,Albania,ALB,1996.0,3168033.0
35,ALB_2000,3632043907.79,Albania,ALB,2000.0,3089027.0
36,ALB_2004,7314865175.67,Albania,ALB,2004.0,3026939.0
37,ALB_2008,12881352687.8,Albania,ALB,2008.0,2947314.0
38,ALB_2012,12319784787.3,Albania,ALB,2012.0,2900247.0
39,ALB_2016,11455595709.1,Albania,ALB,2015.0,2889167.0
40,ARB_1980,3.38154224616e+11,Arab World,ARB,1980.0,164670713.0
41,ARB_1984,3.08080382905e+11,Arab World,ARB,1984.0,186005735.0
42,ARB_1988,3.07455988697e+11,Arab World,ARB,1988.0,208546282.0
43,ARB_1992,4.7037493207e+11,Arab World,ARB,1992.0,232417246.0
44,ARB_1996,5.77307828894e+11,Arab World,ARB,1996.0,258423164.0
45,ARB_2000,7.33948100679e+11,Arab World,ARB,2000.0,281326250.0
46,ARB_2004,9.63918019743e+11,Arab World,ARB,2004.0,306387415.0
47,ARB_2008,2.08134263738e+12,Arab World,ARB,2008.0,336886468.0
48,ARB_2012,2.77326995255e+12,Arab World,ARB,2012.0,368802611.0
49,ARB_2016,2.53010150362e+12,Arab World,ARB,2015.0,392022276.0
50,UAE_1980,43598747466.6,United Arab Emirates,UAE,1980.0,1016789.0
51,UAE_1984,41807954192.5,United Arab Emirates,UAE,1984.0,1280278.0
52,UAE_1988,36275674165.5,United Arab Emirates,UAE,1988.0,1613904.0
53,UAE_1992,54239171887.8,United Arab Emirates,UAE,1992.0,2019014.0
54,UAE_1996,73571233996.2,United Arab Emirates,UAE,1996.0,2467726.0
55,UAE_2000,1.04337372362e+11,United Arab Emirates,UAE,2000.0,3050128.0
56,UAE_2004,1.4782437032e+11,United Arab Emirates,UAE,2004.0,3975945.0
57,UAE_2008,3.15474615739e+11,United Arab Emirates,UAE,2008.0,6900142.0
58,UAE_2012,3.73429543907e+11,United Arab Emirates,UAE,2012.0,8952542.0
59,UAE_2016,3.70292716133e+11,United Arab Emirates,UAE,2015.0,9156963.0
60,ARG_1980,76961923741.9,Argentina,ARG,1980.0,28105889.0
61,ARG_1984,79092001998.0,Argentina,ARG,1984.0,29920907.0
62,ARG_1988,1.26206817196e+11,Argentina,ARG,1988.0,31795515.0
63,ARG_1992,2.28788617202e+11,Argentina,ARG,1992.0,33655149.0
64,ARG_1996,2.7214975e+11,Argentina,ARG,1996.0,35419683.0
65,ARG_2000,2.8420375e+11,Argentina,ARG,2000.0,37057453.0
66,ARG_2004,1.81873056797e+11,Argentina,ARG,2004.0,38728778.0
67,ARG_2008,4.03781994528e+11,Argentina,ARG,2008.0,40381860.0
68,ARG_2012,6.04378456916e+11,Argentina,ARG,2012.0,42095224.0
69,ARG_2016,,Argentina,ARG,2015.0,43416755.0
70,ARM_1980,,Armenia,ARM,1980.0,3096298.0
71,ARM_1984,,Armenia,ARM,1984.0,3287588.0
72,ARM_1988,,Armenia,ARM,1988.0,3510439.0
73,ARM_1992,1272577521.77,Armenia,ARM,1992.0,3449497.0
74,ARM_1996,1596968913.19,Armenia,ARM,1996.0,3173425.0
75,ARM_2000,1911563665.39,Armenia,ARM,2000.0,3076098.0
76,ARM_2004,3576615240.42,Armenia,ARM,2004.0,3025982.0
77,ARM_2008,11662040713.9,Armenia,ARM,2008.0,2975029.0
78,ARM_2012,10619320048.6,Armenia,ARM,2012.0,2978339.0
79,ARM_2016,10561401185.1,Armenia,ARM,2015.0,3017712.0
80,ASM_1980,,American Samoa,ASM,1980.0,32456.0
81,ASM_1984,,American Samoa,ASM,1984.0,37687.0
82,ASM_1988,,American Samoa,ASM,1988.0,44049.0
83,ASM_1992,,American Samoa,ASM,1992.0,49597.0
84,ASM_1996,,American Samoa,ASM,1996.0,53926.0
85,ASM_2000,,American Samoa,ASM,2000.0,57522.0
86,ASM_2004,,American Samoa,ASM,2004.0,59262.0
87,ASM_2008,,American Samoa,ASM,2008.0,57031.0
88,ASM_2012,,American Samoa,ASM,2012.0,55227.0
89,ASM_2016,,American Samoa,ASM,2015.0,55538.0
90,ATG_1980,110066664.723,Antigua and Barbuda,ATG,1980.0,70301.0
91,ATG_1984,173511108.047,Antigua and Barbuda,ATG,1984.0,66863.0
92,ATG_1988,338696290.315,Antigua and Barbuda,ATG,1988.0,62538.0
93,ATG_1992,423762962.963,Antigua and Barbuda,ATG,1992.0,63434.0
94,ATG_1996,541074074.074,Antigua and Barbuda,ATG,1996.0,70245.0
95,ATG_2000,783837851.852,Antigua and Barbuda,ATG,2000.0,77648.0
96,ATG_2004,898356148.148,Antigua and Barbuda,ATG,2004.0,81718.0
97,ATG_2008,1347349851.85,Antigua and Barbuda,ATG,2008.0,85350.0
98,ATG_2012,1204713111.11,Antigua and Barbuda,ATG,2012.0,89069.0
99,ATG_2016,1297285370.37,Antigua and Barbuda,ATG,2015.0,91818.0
100,AUS_1980,1.496545961e+11,Australia,AUS,1980.0,14692000.0
101,AUS_1984,1.93197790255e+11,Australia,AUS,1984.0,15544000.0
102,AUS_1988,2.35771245634e+11,Australia,AUS,1988.0,16532200.0
103,AUS_1992,3.25253403061e+11,Australia,AUS,1992.0,17495000.0
104,AUS_1996,4.01335356601e+11,Australia,AUS,1996.0,18311000.0
105,AUS_2000,4.1495195629e+11,Australia,AUS,2000.0,19153000.0
106,AUS_2004,6.12695262484e+11,Australia,AUS,2004.0,20127400.0
107,AUS_2008,1.05455774396e+12,Australia,AUS,2008.0,21249200.0
108,AUS_2012,1.53747783048e+12,Australia,AUS,2012.0,22728254.0
109,AUS_2016,1.33953906315e+12,Australia,AUS,2015.0,23781169.0
110,AUT_1980,81861232822.8,Austria,AUT,1980.0,7549433.0
111,AUT_1984,67821568599.1,Austria,AUT,1984.0,7561434.0
112,AUT_1988,1.33018182771e+11,Austria,AUT,1988.0,7585317.0
113,AUT_1992,1.94608183696e+11,Austria,AUT,1992.0,7840709.0
114,AUT_1996,2.36720496491e+11,Austria,AUT,1996.0,7959017.0
115,AUT_2000,1.96421706283e+11,Austria,AUT,2000.0,8011566.0
116,AUT_2004,2.99857238639e+11,Austria,AUT,2004.0,8171966.0
117,AUT_2008,4.27611527757e+11,Austria,AUT,2008.0,8321496.0
118,AUT_2012,4.07373026612e+11,Austria,AUT,2012.0,8429991.0
119,AUT_2016,3.74055872241e+11,Austria,AUT,2015.0,8611088.0
120,AZE_1980,,Azerbaijan,AZE,1980.0,6163990.0
121,AZE_1984,,Azerbaijan,AZE,1984.0,6568857.0
122,AZE_1988,,Azerbaijan,AZE,1988.0,6994139.0
123,AZE_1992,4991350457.54,Azerbaijan,AZE,1992.0,7382000.0
124,AZE_1996,3176749593.12,Azerbaijan,AZE,1996.0,7763000.0
125,AZE_2000,5272617196.05,Azerbaijan,AZE,2000.0,8048600.0
126,AZE_2004,8680511918.49,Azerbaijan,AZE,2004.0,8306500.0
127,AZE_2008,48852482960.1,Azerbaijan,AZE,2008.0,8763400.0
128,AZE_2012,68730906313.6,Azerbaijan,AZE,2012.0,9295784.0
129,AZE_2016,53047140347.5,Azerbaijan,AZE,2015.0,9651349.0
130,BDI_1980,919726666.667,Burundi,BDI,1980.0,4126544.0
131,BDI_1984,987143931.167,Burundi,BDI,1984.0,4624617.0
132,BDI_1988,1082403219.49,Burundi,BDI,1988.0,5284173.0
133,BDI_1992,1083037670.6,Burundi,BDI,1992.0,5895131.0
